"256866,8219712,1,forked,4 days 1 hr ago,64,0xe119dcad...,Ê1011066,--"
"256865,8219682,3,forked,4 days 1 hr ago,128,0x4301c08b...,Ê473570,validating_from_DAppNode"
"256830,8218575,16,forked,4 days 5 hrs ago,115,0xca69ef60...,Ê1057717,Northstake"
"256827,8218471,8,forked,4 days 5 hrs ago,103,0xbb95c4b1...,Ê11550,__-_"
"256814,8218072,25,forked,4 days 7 hrs ago,66,0x20d91723...,Ê23042,JESUS IS KING"
"256785,8217120,1,forked,4 days 10 hrs ago,128,0x4ac836d1...,Ê924986,--"
"256713,8214825,10,forked,4 days 17 hrs ago,85,0x34f326fd...,Ê103744,Nimbus/v23.10.0-8b07f4-stateofus"
"256699,8214392,25,forked,4 days 19 hrs ago,74,0x896c23bf...,Ê393335,Look at me. I am de banker now."
"256694,8214229,22,forked,4 days 19 hrs ago,121,0x0ba370ac...,Ê90544,--"
"256677,8213675,12,forked,4 days 21 hrs ago,78,0xa3f47900...,Ê48297,Lighthouse/v4.5.0-441fc16"
"256676,8213659,28,forked,4 days 21 hrs ago,64,0xbdbbfe5f...,Ê937292,Simply Staking"
"256618,8211791,16,forked,5 days 4 hrs ago,128,0x4f77251b...,Ê918575,teku/v23.5.0"
"256592,8210954,11,forked,5 days 6 hrs ago,72,0x16da2e8f...,Ê46376,Avado"
"256589,8210864,17,forked,5 days 7 hrs ago,128,0x326a25ed...,Ê544443,prylabs-lido"
"256567,8210175,32,forked,5 days 9 hrs ago,64,0x8e8f123b...,Ê784953,Vitalickmyballs"
"256549,8209596,29,forked,5 days 11 hrs ago,66,0xd912d329...,Ê678136,Lighthouse/v4.5.0-441fc16"
"256547,8209505,2,forked,5 days 11 hrs ago,81,0x1a5c0921...,Ê548594,stereum.net"
"256515,8208480,1,forked,5 days 15 hrs ago,128,0x891f0eb7...,Ê999453,--"
"256514,8208449,2,forked,5 days 15 hrs ago,128,0xa7aacf2a...,Ê338891,BridgetowerCapital"
"256505,8208188,29,forked,5 days 16 hrs ago,65,0xaba860f9...,Ê44059,--"
"256503,8208098,3,forked,5 days 16 hrs ago,128,0xc3b1692f...,Ê239738,--"
"256479,8207352,25,forked,5 days 18 hrs ago,110,0x241970fa...,Ê391917,--"
"256460,8206745,26,forked,5 days 20 hrs ago,128,0xd8813173...,Ê15908,Lighthouse/v4.5.0-441fc16"
"256432,8205841,18,forked,5 days 23 hrs ago,128,0x534c0d83...,Ê887684,____ Kiln.fi __&# ..."
"256417,8205361,18,forked,6 days 1 hr ago,128,0xfc5d09da...,Ê41068,validating_from_DAppNode"
"256406,8205002,11,forked,6 days 2 hrs ago,65,0x45108ff6...,Ê961717,RP-NL v1.11.4 (tobias)"
"256399,8204793,26,forked,6 days 3 hrs ago,108,0xe408399e...,Ê22650,Lighthouse/v4.3.0-dfcb336"
"256388,8204441,26,forked,6 days 4 hrs ago,65,0x498b6da5...,Ê173030,--"
"256344,8203008,1,forked,6 days 9 hrs ago,128,0x78269294...,Ê1066152,____ Kiln.fi __&# ..."
"256342,8202968,25,forked,6 days 9 hrs ago,65,0x912619f1...,Ê937067,--"
"256327,8202465,2,forked,6 days 11 hrs ago,128,0x2c44d89b...,Ê932261,--"
"256288,8201217,2,forked,6 days 15 hrs ago,128,0xbcc00ee2...,Ê811221,RP-BL v1.11.5 (00)"
"256286,8201153,2,forked,6 days 15 hrs ago,73,0xb9ddb9c4...,Ê461848,validating_from_DAppNode"
